Trial,RiskType,TimeType,RewardType,Reward,Shock,Offset,ITI,LeftKey,FixOnset,RiskOnset,RewardOnset,ResponseType,ResultOnset,ResponseOnset,ResponseTime,ResponseUncertainty,ShockOnset
33,2,1,3,0.75,1,0,10.5,1,504.0942,514.6238,515.1237,1,518.1008,516.8291,1.7054,0.0007023,519.3358
34,2,1,1,0.06,1,0,10.5,0,519.8558,530.3735,530.8737,0,533.8584,532.4691,1.5954,0.00070377,
35,2,1,3,0.83,0,1,9.625,0,535.6092,545.2497,545.7495,0,548.732,547.0122,1.2626,0.0007001,
36,1,1,3,0.66,0,1,10.5,1,550.4830000000001,561.0047,561.505,1,564.4781,562.724,1.2191,0.0007044999999999999,
37,3,2,3,0.84,1,1,10.5,1,566.2405,576.7587,577.2625,0,580.241,578.4031,1.1407,0.00070963,
38,1,2,3,0.93,0,1,10.5,0,581.9907,592.5049,593.0048,1,595.9879,594.4822,1.4774,0.00070524,
39,3,2,1,0.2,1,0,11.375,1,597.7388,609.1443,609.6341,0,612.6165,610.6019,0.96783,0.00070744,
40,3,2,2,0.41,1,1,9.625,1,614.3662,624.0013,624.5183,0,627.4963,625.393,0.8747,0.00071183,
41,1,2,2,0.59,0,1,10.5,1,629.2459,639.7601,640.26,1,643.2438,641.9047,1.6448,0.00070597,
42,1,2,3,0.85,0,1,10.5,1,644.9946,655.4996,656.0060000000001,1,659.0014,657.3603,1.3543,0.00070157,
43,3,2,3,0.92,1,0,11.375,1,660.7549,672.1522,672.6521,0,675.6259,673.5918,0.93965,0.0007111000000000001,
44,2,2,3,0.8,0,1,9.625,0,677.3768,687.0319999999999,687.515,1,690.4997,689.3107,1.7956,0.0007221,
45,1,2,2,0.37,0,1,10.5,0,692.2505,702.7781,703.278,1,706.2605,704.7585,1.4805,0.00070817,
46,1,2,3,0.8,1,1,10.5,1,708.0101,718.5298,719.03,1,722.0068,720.2462,1.2162,0.00078734,723.242
47,2,2,2,0.62,0,1,10.5,0,723.7655,734.2872,734.7875,0,737.7554,736.5413,1.7538,0.00070084,
48,2,2,1,0.11,1,1,10.5,0,739.5064,750.0333,750.5332,0,753.5156,752.0047,1.4715,0.00073749,
49,3,2,2,0.5,1,0,11.375,0,755.2653,766.6626,767.1625,0,770.145,768.3957,1.2332,0.00071037,
50,3,2,2,0.63,1,1,9.625,0,771.8946,781.5264,782.0422,0,785.0114,783.1706,1.1284,0.00072576,
51,2,2,3,0.89,0,0,11.375,1,786.7743,798.1677,798.6715,0,801.6374,800.0504,1.3789,0.00072283,
52,1,2,3,0.71,0,1,9.625,0,803.3872,813.0414,813.5513,1,816.5264,815.0822,1.5309,0.00073896,
53,2,2,1,0.19,1,0,11.375,1,818.2772,829.6661,830.1663,0,833.1508,832.0815,1.9153,0.00070963,
54,2,2,2,0.46,0,0,10.5,1,834.9018,845.4268,845.9238,0,848.8925,847.2488,1.3251,0.0022572,
55,3,2,1,0.07,0,1,9.625,0,850.6593,860.2973,860.7975,0,863.7822,862.4882,1.6907,0.00070377,
56,3,2,2,0.55,1,0,11.375,1,865.5331,876.9219,877.4221,0,880.4068,878.5594,1.1373,0.00071183,
57,2,2,3,0.67,1,1,9.625,1,882.1577,891.7989,892.2959,0,895.2813,894.007,1.7112,0.00071477,
58,2,2,1,0.25,0,0,11.375,1,897.0314,908.4202,908.9205,0,911.9106,910.2622,1.3417,0.00070597,
59,3,2,1,0.28,1,0,10.5,1,913.6602,924.1777,924.6743,0,927.6625,925.5819,0.90766,0.00070304,
60,1,2,1,0.32,0,1,9.625,0,929.4135,939.0374,939.5373,1,942.5364,940.6455,1.1082,0.00069791,
61,3,2,3,0.68,1,1,10.5,1,944.2872,954.8003,955.3002,0,958.2938,957.949,2.6489,0.0007023,
62,1,2,1,0.07,0,1,10.5,0,960.0489,970.5498,971.05,1,974.0456,972.9399,1.8899,0.0007023,
63,2,2,2,0.54,1,0,11.375,0,975.7951,987.1758,987.6756,1,990.6592,989.2354,1.5597,0.00070377,991.9058
64,2,2,3,0.75,1,0,10.5,0,992.4268,1002.9219,1003.4322,0,1006.4209,1005.227,1.7948,0.00069864,
65,1,2,1,0.23,0,1,9.625,0,1008.1706,1017.8057,1018.3059,1,1021.3007,1019.5064,1.2005,0.0007023,
66,1,2,2,0.5,0,1,10.5,0,1023.0581,1033.5631,1034.0476,1,1037.048,1035.0419,0.9943,0.00070597,
67,3,2,1,0.14,1,0,11.375,0,1038.7989,1050.1877,1050.688,0,1053.6762,1052.1212,1.4332,0.00070377,
68,2,2,1,0.32,0,1,9.625,0,1055.4258,1065.0615,1065.5617,1,1068.5559,1068.0567,2.4949,0.00070157,
69,1,2,2,0.45,0,0,11.375,1,1070.3138,1081.6861,1082.1863,1,1085.1876,1083.7521,1.5658,0.00070524,
70,2,2,2,0.38,1,0,10.5,0,1086.9385,1097.4436,1097.9438,1,1100.9313,1100.0795,2.1357,0.0007044999999999999,1102.1727
